label,text
REAL,"Payal has accused filmmaker Anurag Kashyap of behaving inappropriately with her in a video that went viral. She maintained her stance while speaking to ETimes and said, “I have wanted to speak about t"
FAKE,A four-minute-long video of a woman criticising the government at an anti-Citizenship Amendment Act rally in Delhi earlier in January is going viral with a false claim that the woman shows late Prime 
FAKE,"Republic Poll, a fake Twitter account imitating the Arnab Goswami-led Republic TV, is angering netizens with its controversial polls as Twitter users including journalists mistake it for the channel's"
REAL,"Delhi teen finds place on UN green list, turns glass into sand  NEW DELHI: Udit Singhal , who founded a startup to turn glass bottles into sand , has been named among 17 people in the United Nation’s "
REAL,"Delhi: A high-level meeting underway at residence of Rajya Sabha Chairman, Venkaiah Naidu, over the ruckus created… https://t.co/OfoRpOwd4b — ANI (@ANI) 1600599438000  A watershed moment in the histor"
REAL,"ROME: Novak Djokovic knows it isn't model behavior when he loses his cool on the tennis court.Yet he just can't help himself.Exactly two weeks after he was defaulted from the US Open , and a day after"
FAKE,A viral image showing controversial Islamic preacher Zakir Naik pictured alongside a man is being shared online with a false claim that the man is one of the suicide bombers involved in the deadly Eas
FAKE,"Several photos are being shared with the misleading claim that they are bungalows of former Jammu and Kashmir Chief Minster's - Omar Abdullah, Farook Abdullah, Mehbooba Mufti and politician Gulam Nabi"
FAKE,"The driver of the DMU train Arvind Kumar has NOT committed suicide said Police commissioner Amritsar S. Srivastava. The following is the statement he gave to the railway authorities, not a suicide not"
FAKE,An old video of a Dassault Rafale aircraft's stunt performance in Austria has resurfaced on social media with claims that it is an aerobatic demonstration by one of the five Rafale jets that India has
REAL,"Ahmedabad: Crime branch sleuths on Friday held a drug peddler Shabbir Shaikh of Jamalpur. He used to sell drugs brought in by Sehjadhussain Tejabwala and Imran Ajmeri from Mumbai. Their supplier, Afaq"
FAKE,A video clip of journalist Abhisar Sharma with a caption falsely accusing him of distributing money to villagers to speak against the Bharatiya Janta Party led government in Uttar Pradesh has taken Tw
REAL,"Ludhiana: The drain coverage projects have remained a battleground for leaders of the BJP and Congress in central constituency, where from 2004 till 2017 Ganda Nullah coverage project from Gurdwara Du"
REAL,"NEW DELHI: Seven of the top 10 most valued domestic companies saw a combined erosion of Rs 59,259.58 crore in their market valuation last week , with Hindustan Unilever , HDFC Bank and Kotak Mahindra "
FAKE,"A video showing the appalling conditions inside the COVID-19 ward of King Edward Memorial (KEM) hospital, Mumbai is being shared on social media claiming it to be from a hospital in Delhi.  The video "
FAKE,"A woman whose photos were stolen to create the fake persona of 'Dr. Aisha' - a catfish Twitter account posing as a frontline doctor who died of COVID-19, is a medical student in South Africa, BOOM has"
REAL,"Delhi: A high-level meeting underway at residence of Rajya Sabha Chairman, Venkaiah Naidu, over the ruckus created… https://t.co/OfoRpOwd4b — ANI (@ANI) 1600599438000  A watershed moment in the histor"
REAL,"NEW DELHI: As many as 21 states, mostly ruled by BJP or parties which have supported it on various issues, have opted to borrow Rs 97,000 crore to meet the GST revenue shortfall in the current fiscal,"
REAL,"Kareena Kapoor Khan, who is all set to ring in her 40birthday tomorrow on September 21, took to her Instagram handle to share a monochrome selfie, smiling as she looks back to the milestones she achie"
FAKE,"A viral WhatsApp forward claiming the life of a virus at one place is 12 hours and so a 14-hour curfew, set to take place on March 22, 2020, will break the chain of transmission, is misleading and not"
REAL,"CHANDIGARH: Punjab chief minister Amarinder Singh on Sunday said his government would take the BJP and its allies, including the Akalis, to court over the new “unconstitutional, undemocratic and anti-"
FAKE,"Several users of social media are calling out photos of anti-Citizenship Amendment Act (CAA) protesters, with visible bandages, as imposters with no real injuries. According to them, the photos, which"
REAL,TimesView Patients not needing hospital care form an overwhelming majority of cases now and it is essential that treatment protocols focus on their needs. Preempting any deterioration in their conditi
REAL,"NEW DELHI: As many as 21 states, mostly ruled by BJP or parties which have supported it on various issues, have opted to borrow Rs 97,000 crore to meet the GST revenue shortfall in the current fiscal,"
FAKE,"A viral post insinuating that 96% of rapists in India belong to the Muslim community, is false and not supported by official data    The post, which refers to a fictitious statistic claims that betwee"
FAKE,"Has Jasleen Kaur Josan become the first Indian astronaut to join the 2030 Mars Mission? A tweet by Harsh Goenka, Chairman of RPG Enterprises made this claim on October 8 that has subsequently gone vir"
REAL,Kolkata: The city and Gangetic Bengal are set to receive moderate to heavy showers over the next 48 hours under the impact of a low pressure that will form over northeast Bay of Bengal on Monday. Kolk
REAL,"ROME: Novak Djokovic knows it isn't model behavior when he loses his cool on the tennis court.Yet he just can't help himself.Exactly two weeks after he was defaulted from the US Open , and a day after"
FAKE,Watch episode-5 Of Fact Vs Fiction where Suyash Barve & Jency Jacob discuss the fake news stories in the last one week and how you can spot them on social media.  In this Video we cover the following 
REAL,"NEW DELHI: There is no restriction on accessing any website, including social media sites, in Jammu and Kashmir , the Lok Sabha was informed on Sunday.Union minister of state for home G Kishan Reddy s"
REAL,"20:34 (IST) Sep 20  We don't understand, why this hurry? They are not listening to the voice of the farmers. They are not listening to political parties. They are not listening to the voice of the Par"
FAKE,"A photoshopped image of Bengali actress and model Nusrat Jahan, has been revived on Facebook less than 24 hours after the Trinamool Congress (TMC) named her as a candidate to contest polls from the Ba"
REAL,A little Rashid magic on @rashidkhan_19's birthday 🎩✨#OrangeArmy #KeepRising #IPL2020 #Dream11IPL https://t.co/TM0P2CAfUQ — SunRisers Hyderabad (@SunRisers) 1600593628000  🚨 ATTENTION #OrangeArmy 🚨Our
REAL,"THIRUVANANTHAPURAM: The state reported 4,644 new Covid-19 cases of Covid-19 on Saturday, of which 3,781 were infected through contact while the source of infection is unknown in 498 cases.Chief Minist"
FAKE,An old video of a pod of whales swimming alongside of what appears to be a vessel has resurfaced with claims that it is from the Mumbai High Field (Bombay High) an offshore oilfield located 176 km off
REAL,"NEW DELHI: Companies having not less than 300 workers will soon be allowed to hire and fire workers without seeking prior government permission, with the labour ministry proposing changes to rules in "
REAL,"Read Also  Read Also  Advocate Ishkaran Bhandari recently linked Sushant Singh Rajput and Disha Salian ’s case. According to him, Siddharth Pithani has reportedly stated that Sushant fainted and feare"
REAL,"Read Also  Read Also  Advocate Ishkaran Bhandari recently linked Sushant Singh Rajput and Disha Salian ’s case. According to him, Siddharth Pithani has reportedly stated that Sushant fainted and feare"
REAL,NEW DELHI: Prime Minister Narendra Modi is likely to chair a meeting of the chief ministers of seven states next week to review the coronavirus situation.Sources said the meeting is likely to be held 
REAL,"Don’t need Twitter to explain what @anuragkashyap72 means to many of us. As a woman, am here to share my journey… https://t.co/Fb7IRVaPLj — Guneet Monga (@guneetm) 1600604086000  Read Also  Filmmaker "
FAKE,"A heartbreaking photo showing a young boy hug the body of his deceased father - an Indian Army officer, who died in Jorhat, Assam, last year, has resurfaced with many falsely linking it to the recent "
FAKE,"A video clip where Madhya Pradesh Chief Minister Shivraj Singh Chouhan appears to be speaking about promoting the consumption of alcohol in the state, is cropped and is being shared out of context.   "
REAL,40 overs of action and we still do not have a winner. The match is heading to the Super Over. Both sides had the game in their hands at one point or the other but none have been able to latch onto it 
FAKE,Here's this week's round-up of the news you almost believed.  Congress MP Shashi Tharoor had his webaqoof moment when he shared a fabricated letter purporting to be from the University of Bern to phys
FAKE,"A collage of two unrelated images is going around on social media with a claim that a woman from Gonda, Uttar Pradesh was raped by politician from the Indian National Congress party. The message furth"
REAL,"Guneet Monga comes out in support of Anurag Kashyap, says “Don’t need Twitter to explain what he means to many of us”"
REAL,CHANDIGARH: Haryana is known for skewed sex ratio and the state’s craze for sons is also reflected in the Central Adoption Resource Authority (CARA) data as waiting list for adoption of a male child f
REAL,"NEW DELHI: The government has not taken any decision to discontinue the printing of Rs 2,000 denomination currency notes, the Lok Sabha was informed on Saturday.“Printing of bank notes of particular d"
FAKE,"An old clip of a modification made to a video game showing a missile strike is going viral in India with the claim that is shows the Indian Air Force's air strikes in the early hours of February 26, 2"
FAKE,A viral image claiming to show the latest TIME magazine cover with US President Donald Trump and the headline 'TIME...to go'; is fake and has not been created by the magazine.    The image features a 
REAL,"MISANO ADRIATICO (Italy): Italian Romano Fenati won the Moto3 race Sunday at the Emilia-Romagna Grand Prix at Misano circuit.Italian Celestino Vietti ( KTM ) led much of the race until Fenati, riding "
FAKE,A fake pre-poll survey predicting a huge victory for the ruling Bharatiya Janata Party (BJP) in the upcoming Lok Sabha elections is viral on social media. The fake poll has been attributed to the medi
REAL,"NEW DELHI: Seven of the top 10 most valued domestic companies saw a combined erosion of Rs 59,259.58 crore in their market valuation last week , with Hindustan Unilever , HDFC Bank and Kotak Mahindra "
FAKE,"An image showing Home Minister Amit Shah sleeping during a Rajya Sabha session, is false. The viral image claims to show Shah mid-sleep even as Law minister Ravishankar Prasad is addressing the Chairm"
REAL,Many things will have to work out to end the coronavirus pandemic. Drug companies will have to develop a safe and effective vaccine. Billions of people will have to consent to vaccination.But there ar
FAKE,"A photo more than a decade old, showing a Nepalese policeman pull the t-shirt of a female Tibetan protester has been revived online with spin that it shows the Indian Army manhandling a woman in Assam"
REAL,"NEW DELHI: The special cell of Delhi Police has arrested a Chinese woman and a Nepalese man, besides freelance journalist Rajeev Sharma, and claimed to have busted an espionage ring. All three have be"
FAKE,An imaginary quote attributed to Congress leader Kapil Sibal by a satire website has gone viral on social media. Facebook users have shared the quote claiming that Kapil Sibal has filed a petition in 
FAKE,A video of a mock drill by Chinese security officials to create awareness about public cooperation with police during the Coronavirus epidemic is falsely being shared as a true incident.  In the viral
FAKE,"Does the English word 'sir' really stand for 'slave I remain'? And did the British, during their rule in India, want all Indians to address them as 'sir' because of this? A viral WhatsApp message has "
REAL,"Read Also  Read Also  In the latest episode of Naagin 5 , Veer gets mad at Bani for killing his twin brother. Bani tells him she killed the twin thinking he is Veer, who killed Jay. Veer decides to se"
REAL,"NEW DELHI: Hong Kong has again asked Air India not to operate flights there for two weeks starting Sunday (September 20). Like the first suspension last month , this time also the reason is significan"
FAKE,A collage of four images is viral on social media with false claims that they are activities that took place behind the scenes of Prime Minister Narendra Modi’s recent video of cleaning the Mamallapur
FAKE,"[video type='youtube' id='o75RaR675YE' height='365']  A video by ""Whistleblower News India"" on the languishing state of 9 government banks is going viral on WhatsApp accompanied by the message that th"
FAKE,"An old photo of Bharatiya Janta Party (BJP) President Amit Shah and former Chhattisgarh Chief Minister Raman Singh welcoming a man to the party-fold, has gone viral on social media with a false narrat"
FAKE,"A video of a rape accused being thrashed by cops in Andhra Pradesh is being shared on Facebook as footage of police coming down heavily on -Mohammed alias Areef, - an accused in the gang rape and murd"
REAL,Read Also  The latest episode of Roadies Revolution continues from the previous Hadippa task. The tasks are divided Into 4 parts in which contestants from each team will have to win every task which i
FAKE,A 2019 video of a flooded ward in Bihar's Nalanda Medical College and Hospital is viral on social media with claims of it being the current situation at the hospital.  The hospital was the first one t
REAL,"Read Also  Read Also  In the latest episode of Naagin 5 , Veer gets mad at Bani for killing his twin brother. Bani tells him she killed the twin thinking he is Veer, who killed Jay. Veer decides to se"
FAKE,A video of migrant labourers throwing away food packets from a moving train in West Bengal's Asansol station is viral with false narratives including that they refused to accept food from the governme
FAKE,A video purporting to show celebrations in Balochistan after the Bharatiya Janata Party's (BJP) landslide victory in the recently concluded Lok Sabha elections in India is false.  The video was shot i
REAL,"Guneet Monga comes out in support of Anurag Kashyap, says “Don’t need Twitter to explain what he means to many of us”"
FAKE,"A video going viral on Twitter, Facebook and WhatsApp of lockers and bags full of cash attributed to the Income Tax raids conducted at Karnataka Congress minister D K Shivkumar's residence is fake. A "
FAKE,"A video from Jharkhand, of a Railway police official questioning four accused about their modus operandi for kidnapping children, is being shared in parts of Mumbai and outskirts as a gang that has re"
REAL,SACH is LIFE | ft. Sachin TENDULKAR & Aakash CHOPRA | SPECIAL Interview | Part 1  1 / 10 IPL 2020 Match 1: Mumbai Indians vs Chennai Super Kings Previous Next Show Captions <p>Mumbai Indians and Chenn
FAKE,"A two-year-old video from Gujarat showing three men brutally assault a man in the middle of the street, is viral with a misleading caption that claims Bharatiya Janata Party workers thrashed a Dalit y"
FAKE,A set of two old and unrelated images are viral on social media with a false claim that a man in Bangladesh burnt to death while celebrating the Indian cricket team's defeat to New Zealand at the Worl
